display_name,player_name,position_group,position
Frank Summers,Frank Summers,RB,RB
Jason Snelling,Jason Snelling,RB,RB
Marcel Reece,Marcel Reece,RB,RB
Mike Tolbert,Mike Tolbert,RB,RB
James Casey,James Casey,TE,TE
James Develin,James Develin,RB,RB
Patrick DiMarco,Patrick DiMarco,RB,RB
Kyle Juszczyk,Kyle Juszczyk,RB,RB
Tommy Bohanon,Tommy Bohanon,RB,RB
Zach Line,Zach Line,RB,RB
Keith Smith,Keith Smith,RB,RB
Roosevelt Nix,Roosevelt Nix,RB,RB
Michael Burton,Michael Burton,RB,RB
Andy Janovich,Andy Janovich,RB,RB
C.J. Ham,C.J. Ham,RB,RB
Patrick Ricard,Patrick Ricard,RB,RB
Alec Ingold,Alec Ingold,RB,RB
Jakob Johnson,Jakob Johnson,RB,RB
Khari Blasingame,Khari Blasingame,RB,RB
Reggie Gilliam,Reggie Gilliam,RB,RB
Adam Prentice,Adam Prentice,RB,RB
Mark Walton,Mark Walton,RB,RB
David Garrard,David Garrard,QB,QB
Donovan McNabb,Donovan McNabb,QB,QB
Jake Locker,Jake Locker,QB,QB
Jason Campbell,Jason Campbell,QB,QB
Jimmy Clausen,Jimmy Clausen,QB,QB
John Skelton,John Skelton,QB,QB
Johnny Manziel,Johnny Manziel,QB,QB
Josh Freeman,Josh Freeman,QB,QB
Kevin Kolb,Kevin Kolb,QB,QB
Kyle Orton,Kyle Orton,QB,QB
Matt Flynn,Matt Flynn,QB,QB
Matt Hasselbeck,Matt Hasselbeck,QB,QB
Peyton Manning,Peyton Manning,QB,QB
Tom Brady,Tom Brady,QB,QB
Drew Brees,Drew Brees,QB,QB
Josh McCown,Josh McCown,QB,QB
Shaun Hill,Shaun Hill,QB,QB
Carson Palmer,Carson Palmer,QB,QB
Tony Romo,Tony Romo,QB,QB
Ben Roethlisberger,Ben Roethlisberger,QB,QB
Eli Manning,Eli Manning,QB,QB
Matt Schaub,Matt Schaub,QB,QB
Philip Rivers,Philip Rivers,QB,QB
Aaron Rodgers,Aaron Rodgers,QB,QB
Alex Smith,Alex Smith,QB,QB
Matt Cassel,Matt Cassel,QB,QB
Ryan Fitzpatrick,Ryan Fitzpatrick,QB,QB
Jay Cutler,Jay Cutler,QB,QB
Drew Stanton,Drew Stanton,QB,QB
Matt Moore,Matt Moore,QB,QB
Chad Henne,Chad Henne,QB,QB
Joe Flacco,Joe Flacco,QB,QB
Josh Johnson,Josh Johnson,QB,QB
Matt Ryan,Matt Ryan,QB,QB
Brian Hoyer,Brian Hoyer,QB,QB
Chase Daniel,Chase Daniel,QB,QB
Mark Sanchez,Mark Sanchez,QB,QB
Matthew Stafford,Matthew Stafford,QB,QB
Colt McCoy,Colt McCoy,QB,QB
Sam Bradford,Sam Bradford,QB,QB
Andy Dalton,Andy Dalton,QB,QB
Blaine Gabbert,Blaine Gabbert,QB,QB
Cam Newton,Cam Newton,QB,QB
Christian Ponder,Christian Ponder,QB,QB
Colin Kaepernick,Colin Kaepernick,QB,QB
Ryan Mallett,Ryan Mallett,QB,QB
Scott Tolzien,Scott Tolzien,QB,QB
Tyrod Taylor,Tyrod Taylor,QB,QB
Andrew Luck,Andrew Luck,QB,QB
Brandon Weeden,Brandon Weeden,QB,QB
Brock Osweiler,Brock Osweiler,QB,QB
Case Keenum,Case Keenum,QB,QB
Kirk Cousins,Kirk Cousins,QB,QB
Nick Foles,Nick Foles,QB,QB
Russell Wilson,Russell Wilson,QB,QB
Ryan Tannehill,Ryan Tannehill,QB,QB
Geno Smith,Geno Smith,QB,QB
Matt Barkley,Matt Barkley,QB,QB
Mike Glennon,Mike Glennon,QB,QB
AJ McCarron,AJ McCarron,QB,QB
Blake Bortles,Blake Bortles,QB,QB
Derek Carr,Derek Carr,QB,QB
Jimmy Garoppolo,Jimmy Garoppolo,QB,QB
Teddy Bridgewater,Teddy Bridgewater,QB,QB
Tom Savage,Tom Savage,QB,QB
Brett Hundley,Brett Hundley,QB,QB
Jameis Winston,Jameis Winston,QB,QB
Marcus Mariota,Marcus Mariota,QB,QB
Sean Mannion,Sean Mannion,QB,QB
Taylor Heinicke,Taylor Heinicke,QB,QB
Trevor Siemian,Trevor Siemian,QB,QB
Carson Wentz,Carson Wentz,QB,QB
Cody Kessler,Cody Kessler,QB,QB
Dak Prescott,Dak Prescott,QB,QB
Jacoby Brissett,Jacoby Brissett,QB,QB
Jared Goff,Jared Goff,QB,QB
Paxton Lynch,Paxton Lynch,QB,QB
C.J. Beathard,C.J. Beathard,QB,QB
Chad Kelly,Chad Kelly,QB,QB
Cooper Rush,Cooper Rush,QB,QB
Deshaun Watson,Deshaun Watson,QB,QB
DeShone Kizer,DeShone Kizer,QB,QB
Joshua Dobbs,Joshua Dobbs,QB,QB
Nathan Peterman,Nathan Peterman,QB,QB
Nick Mullens,Nick Mullens,QB,QB
Baker Mayfield,Baker Mayfield,QB,QB
John Wolford,John Wolford,QB,QB
Josh Allen,Josh Allen,QB,QB
Josh Rosen,Josh Rosen,QB,QB
Kyle Allen,Kyle Allen,QB,QB
Lamar Jackson,Lamar Jackson,QB,QB
Mason Rudolph,Mason Rudolph,QB,QB
Sam Darnold,Sam Darnold,QB,QB
Tim Boyle,Tim Boyle,QB,QB
Daniel Jones,Daniel Jones,QB,QB
Drew Lock,Drew Lock,QB,QB
Dwayne Haskins,Dwayne Haskins,QB,QB
Jarrett Stidham,Jarrett Stidham,QB,QB
Kyler Murray,Kyler Murray,QB,QB
Ryan Finley,Ryan Finley,QB,QB
Will Grier,Will Grier,QB,QB
Chris Streveler,Chris Streveler,QB,QB
Jacob Eason,Jacob Eason,QB,QB
Jalen Hurts,Jalen Hurts,QB,QB
Joe Burrow,Joe Burrow,QB,QB
Jordan Love,Jordan Love,QB,QB
Justin Herbert,Justin Herbert,QB,QB
Tua Tagovailoa,Tua Tagovailoa,QB,QB
Tyler Huntley,Tyler Huntley,QB,QB
Davis Mills,Davis Mills,QB,QB
Justin Fields,Justin Fields,QB,QB
Kellen Mond,Kellen Mond,QB,QB
Mac Jones,Mac Jones,QB,QB
Sam Ehlinger,Sam Ehlinger,QB,QB
Trevor Lawrence,Trevor Lawrence,QB,QB
Trey Lance,Trey Lance,QB,QB
Zach Wilson,Zach Wilson,QB,QB
Desmond Ridder,Desmond Ridder,QB,QB
Kenny Pickett,Kenny Pickett,QB,QB
Malik Willis,Malik Willis,QB,QB
Sam Howell,Sam Howell,QB,QB
Adrian Peterson,Adrian Peterson,RB,RB
Ahmad Bradshaw,Ahmad Bradshaw,RB,RB
Alex Green,Alex Green,RB,RB
Alfonso Smith,Alfonso Smith,RB,RB
Andre Brown,Andre Brown,RB,RB
Anthony Dixon,Anthony Dixon,RB,RB
Antone Smith,Antone Smith,RB,RB
Arian Foster,Arian Foster,RB,RB
Ben Tate,Ben Tate,RB,RB
BenJarvus Green-Ellis,BenJarvus Green-Ellis,RB,RB
Bernard Scott,Bernard Scott,RB,RB
Brandon Jackson,Brandon Jackson,RB,RB
Brandon Jacobs,Brandon Jacobs,RB,RB
Bryce Brown,Bryce Brown,RB,RB
Cedric Benson,Cedric Benson,RB,RB
Chester Taylor,Chester Taylor,RB,RB
Chris Rainey,Chris Rainey,RB,RB
Da'Rel Scott,Da'Rel Scott,RB,RB
Dan Herron,Dan Herron,RB,RB
Daniel Thomas,Daniel Thomas,RB,RB
David Cobb,David Cobb,RB,RB
David Wilson,David Wilson,RB,RB
DeAngelo Williams,DeAngelo Williams,RB,RB
Deji Karim,Deji Karim,RB,RB
Delone Carter,Delone Carter,RB,RB
Denard Robinson,Denard Robinson,RB,RB
Derrick Ward,Derrick Ward,RB,RB
Donald Brown,Donald Brown,RB,RB
Dri Archer,Dri Archer,RB,RB
Evan Royster,Evan Royster,RB,RB
Felix Jones,Felix Jones,RB,RB
Fred Jackson,Fred Jackson,RB,RB
Isaac Redman,Isaac Redman,RB,RB
Isaiah Pead,Isaiah Pead,RB,RB
Jackie Battle,Jackie Battle,RB,RB
Jahvid Best,Jahvid Best,RB,RB
James Starks,James Starks,RB,RB
Jamie Harper,Jamie Harper,RB,RB
Javon Ringer,Javon Ringer,RB,RB
Jerome Harrison,Jerome Harrison,RB,RB
Joe McKnight,Joe McKnight,RB,RB
